Component,Sequence,LowLow,Low,OpLow,OpHigh,High,HighHigh
TTR101_TEMPERATURE,sleep,,,10,30,,
PTC101_PRESSURE,sleep,,,1,3.5,,
TTR101_TEMPERATURE,wait,5,7,,,43,45
DSW101_POSITION,wait,,0,,,,
LSW101_POSITION,wait,,,,1,,
ACP101_POWER,wait,,,,,2500,3000
TNK101_VOLUME,wait,1,3,,,30,35
TNK102_VOLUME,wait,1,3,,,63,65
PTC101_PRESSURE,wait,,0.5,,,4,
PTC109_PRESSURE,wait,0.8,0.9,,,1.1,1.2
TRB101_TEMPERATURE,wait,,,,,38,40
CTR101_TEMPERATURE,wait,,,,,38,40
TNK102_VOLUME,production,,,,,57,
PTC101_PRESSURE,production,0.25,,,,4.25,
TRB101_TEMPERATURE,production,,,,,40,
CTR101_TEMPERATURE,production,,,,,40,
TTR101_TEMPERATURE,productionuvlampwarmup,5,7,,,43,45
DSW101_POSITION,productionuvlampwarmup,,0,,,,
LSW101_POSITION,productionuvlampwarmup,,,,,1,
ACP101_POWER,productionuvlampwarmup,,,,,2500,3000
TNK101_VOLUME,productionuvlampwarmup,1,3,,17,30,35
TNK102_VOLUME,productionuvlampwarmup,1,3,,,63,65
PTC101_PRESSURE,productionuvlampwarmup,0.25,0.5,,,4,4.25
PTC109_PRESSURE,productionuvlampwarmup,0.8,0.9,,,1.1,1.2
FLM101_PRESSUREDIFF,productionuvlampwarmup,,,,,1.8,2
TRB101_TURBIDITY,productionuvlampwarmup,,,,,50,200
TRB101_TEMPERATURE,productionuvlampwarmup,5,7,,,38,40
CTR101_CONDUCTIVITY,productionuvlampwarmup,,,,,750,800
CTR101_TEMPERATURE,productionuvlampwarmup,5,7,,,38,40
CTR101_TDS,productionuvlampwarmup,,,,,250,500
UVI101_INTENSITY,productionuvlampwarmup,,,,,15,20
UVM101_DOSE,productionuvlampwarmup,,,110,,,
TTR101_TEMPERATURE,productioncipwatertankfill,5,7,,,43,45
DSW101_POSITION,productioncipwatertankfill,,0,,,,
LSW101_POSITION,productioncipwatertankfill,,,,,1,
ACP101_POWER,productioncipwatertankfill,,,,,2500,3000
TNK101_VOLUME,productioncipwatertankfill,1,3,7,17,30,35
TNK102_VOLUME,productioncipwatertankfill,1,3,,57,63,65
FTR102_FLOWRATE,productioncipwatertankfill,3,5,8,12,40,50
PPF101_SPEEDPERCENTAGE,productioncipwatertankfill,,,5,95,,
PTC101_PRESSURE,productioncipwatertankfill,0.25,0.5,,,4,4.25
PTC102_PRESSURE,productioncipwatertankfill,0.075,0.1,0.5,2.5,2.75,3
PTC109_PRESSURE,productioncipwatertankfill,0.8,0.9,,,1.1,1.2
PTC112_PRESSURE,productioncipwatertankfill,,,,,0.1,0.15
FLU101_TMP,productioncipwatertankfill,0.1,0.125,,,1.8,2
FLU101_TCSF,productioncipwatertankfill,20,40,,,325,350
TRB101_TURBIDITY,productioncipwatertankfill,,,,,50,200
TRB101_TEMPERATURE,productioncipwatertankfill,5,7,,,38,40
TRB102_TURBIDITY,productioncipwatertankfill,,,,,0.1,0.15
TRB102_TEMPERATURE,productioncipwatertankfill,5,7,,,38,40
CTR101_CONDUCTIVITY,productioncipwatertankfill,,,,,750,800
CTR101_TEMPERATURE,productioncipwatertankfill,5,7,,,38,40
CTR101_TDS,productioncipwatertankfill,,,,,250,500
UVI101_INTENSITY,productioncipwatertankfill,,,,,15,20
UVM101_DOSE,productioncipwatertankfill,100,105,110,,,
TTR101_TEMPERATURE,productionpotablewatervolume,5,7,,,43,45
DSW101_POSITION,productionpotablewatervolume,,0,,,,
LSW101_POSITION,productionpotablewatervolume,,,,,1,
ACP101_POWER,productionpotablewatervolume,,,,,2500,3000
TNK101_VOLUME,productionpotablewatervolume,,7,,17,30,35
TNK102_VOLUME,productionpotablewatervolume,1,3,,,63,65
FTR102_FLOWRATE,productionpotablewatervolume,3,5,8,12,40,50
FTR103_FLOWRATE,productionpotablewatervolume,3,5,,,40,50
PPF101_SPEEDPERCENTAGE,productionpotablewatervolume,,,5,95,,
PTC101_PRESSURE,productionpotablewatervolume,0.25,0.5,,,4,4.25
PTC102_PRESSURE,productionpotablewatervolume,0.075,0.1,0.5,2.5,2.75,3
PTC109_PRESSURE,productionpotablewatervolume,0.8,0.9,,,1.1,1.2
PTC111_PRESSURE,productionpotablewatervolume,0,0,0.5,,,3
PTC112_PRESSURE,productionpotablewatervolume,,,,,0.1,0.15
FLM101_PRESSUREDIFF,productionpotablewatervolume,,,0.5,1.5,1.8,2
FLM102_PRESSUREDIFF,productionpotablewatervolume,,,0.5,1.5,1.8,2
FLM103_PRESSUREDIFF,productionpotablewatervolume,e,,0.5,1.5,1.8,2
FLM105_PRESSUREDIFF,productionpotablewatervolume,,,,,1.8,2
FLU101_TMP,productionpotablewatervolume,0.1,0.125,,1.5,1.8,2
FLU101_TCSF,productionpotablewatervolume,20,40,45,,325,350
UVI101_INTENSITY,productionpotablewatervolume,,,,,15,20
UVM101_DOSE,productionpotablewatervolume,100,105,110,,,
TTC113_PRESSURE,productionpotablewatervolume,,,,,4.5,7
